brand,sku,price_positioning,offer_price,regular_price,basket_price,discount_price
carolina bucci,1098913.0,50.0,1497.5,1497.5,1497.5,0.0
carolina herrera,1160608.4444444445,44.44444444444444,2256.222222222222,2932.222222222222,2256.222222222222,676.0
carrie forbes,1124081.2,0.0,101.5,291.0,106.5,189.5
castañer,1025929.25,80.68181818181819,92.75,102.5,97.75,9.75
cecilie bahnsen,1170727.25,19.053840544482256,578.75,1002.875,578.75,424.125
cefinn,1162413.5,25.0,159.5,297.5,163.25,138.0
chantelle,1158544.5,50.0,43.0,43.0,48.0,0.0
charlotte chesnais,1110080.0,13.88888888888889,505.0,505.0,505.0,0.0
charo ruiz,1121462.0,0.0,195.0,195.0,200.0,0.0
chloé,1141086.6219512196,32.27128120170971,853.4298780487804,1047.496951219512,853.5823170731708,194.0670731707317
christian louboutin,1111900.3152173914,14.945652173913043,758.0434782608696,758.0434782608696,758.0434782608696,0.0
christopher kane,1161725.1538461538,57.391130030848096,644.0,781.9230769230769,644.3846153846154,137.92307692307693
church's,1116104.0,66.42335766423358,580.0,580.0,580.0,0.0
citizens of humanity,1200129.0,0.0,260.0,260.0,260.0,0.0
co,1157658.0,33.333333333333336,426.6666666666667,618.3333333333334,426.6666666666667,191.66666666666666
commando,788558.0,100.0,100.0,100.0,105.0,0.0
comme des garçons comme des garçons,1179413.5,0.0,634.875,755.375,634.875,120.5
comme des garçons girl,1179429.5,2.604166666666667,124.5,207.5,129.5,83.0
common projects,1084223.375,37.5,293.625,348.125,294.875,54.5
costarellos,1138891.0,100.0,2825.0,2825.0,2825.0,0.0
courreges,1163521.5,50.0,454.2,741.0,456.7,286.8
cult gaia,1145688.4782608696,4.3478260869565215,172.65217391304347,372.5217391304348,176.34782608695653,199.8695652173913
cushnie,1167624.25,0.0,839.625,1445.0,839.625,605.375
david koma,1181640.8,40.0,753.1,1017.2,753.1,264.1
de la vali,1170349.5,48.90829694323144,547.5,547.5,547.5,0.0
derek lam,1153367.0,50.0,681.0,681.0,681.0,0.0
diane von furstenberg,1154481.037037037,61.36890101141965,453.77777777777777,507.51851851851853,454.3333333333333,53.74074074074074
dion lee,1175309.0,0.0,248.0,620.0,248.0,372.0
dodo bar or,1163961.0,57.95454545454545,351.8636363636364,595.4545454545455,353.22727272727275,243.5909090909091
dolce & gabbana,1153396.0487804879,15.00041431123834,666.6951219512196,1052.9024390243903,667.3048780487804,386.2073170731707
eberjey,1168871.0,0.0,55.12,55.12,60.12,0.0
ellery,1216761.4,0.0,306.2,712.0,307.2,405.8
emilia wickstead,1162805.6,0.0,487.2,1128.0,487.2,640.8
emme parsons,1131249.0,100.0,375.0,375.0,375.0,0.0
equipment,1158405.0,0.0,252.5,332.5,252.5,80.0
erdem,1156566.8,0.011086474501108601,679.1,1344.5,679.6,665.4
eres,1164862.0,0.0,235.0,235.0,235.0,0.0
etro,1163189.575,4.234333206437031,682.8125,1150.75,682.9375,467.9375
eve denim,1166374.5,25.0,156.0,310.0,159.75,154.0
evi grintela,1164396.0,0.0,366.0,610.0,366.0,244.0
f.r.s for restless sleepers,1179535.2,0.0,334.9,814.9,334.9,480.0
faithfull the brand,1155379.4,0.0,94.27199999999999,152.528,99.27199999999999,58.25599999999999
falke ergonomic sport system,1161969.0,100.0,59.0,59.0,64.0,0.0
fendi,1140751.48,10.928017718715394,928.41,977.77,928.61,49.36
figue,1151197.5,0.0,281.25,406.25,283.75,125.0
fisch,1144612.0,25.0,83.375,100.875,88.375,17.5
forte_forte,1184796.5,0.0,422.5,900.0,422.5,477.5
foundrae,1120953.0,50.0,2245.0,2245.0,2245.0,0.0
frame,1148218.125,52.64100301570186,349.40625,412.1875,351.90625,62.78125
francesco russo,1165531.0,50.0,552.5,757.5,552.5,205.0
fusalp,1162423.0,0.0,625.0,625.0,625.0,0.0
gabriela hearst,1172910.0,11.11111111111111,599.7777777777778,1332.7777777777778,599.7777777777778,733.0
galvan,1150754.75,27.483443708609272,619.5625,1092.5,620.1875,472.9375
ganni,1159989.8148148148,8.198827121449934,122.70987654320987,226.22222222222223,126.96913580246914,103.51234567901234
georgia alice,1163031.5,0.0,347.75,387.5,350.25,39.75
giambattista valli,1171155.625,37.5,1836.375,2078.125,1836.375,241.75
gianvito rossi,1084060.4328358208,40.768929187479145,571.955223880597,635.2910447761194,571.955223880597,63.33582089552239
giuliva heritage collection,1142111.25,25.0,790.75,1678.75,790.75,888.0
giuseppe zanotti,1111445.888888889,55.55555555555556,590.5555555555555,620.5555555555555,590.5555555555555,30.0
givenchy,1127802.2266666666,18.474925927769565,915.3733333333333,1359.6,915.5066666666667,444.2266666666667
gmbh,1170188.0,0.0,281.6666666666667,556.6666666666666,283.3333333333333,275.0
golden goose,1140316.9677419355,21.585605296892897,289.51612903225805,365.6774193548387,290.0,76.16129032258064
goldsign,1145696.75,25.0,123.625,223.75,128.625,100.125
grlfrnd,1150276.0,33.333333333333336,202.66666666666666,316.6666666666667,204.33333333333334,114.0
gucci,1089909.3866666667,11.834321659598091,1124.51,1124.51,1124.5766666666666,0.0
haider ackermann,1170265.0,16.666666666666668,384.75,732.75,384.75,348.0
halpern,1164969.25,2.688470066518847,787.5,1775.0,787.5,987.5
haney,1157016.0,0.0,733.5,733.5,733.5,0.0
hanro,1063966.0,0.0,51.0,51.0,56.0,0.0
heidi klein,1153303.375,50.0,218.875,250.625,221.375,31.75
helmut lang,1163394.0,31.403661397082452,291.88947368421054,459.94736842105266,293.73157894736846,168.0578947368421
house of holland,1160584.5714285714,57.142857142857146,310.14285714285717,322.14285714285717,311.57142857142856,12.0
hunza g,1183843.3333333333,33.333333333333336,124.33333333333333,138.33333333333334,129.33333333333334,14.0
hvn,1162928.6666666667,33.333333333333336,204.0,373.3333333333333,207.33333333333334,169.33333333333334
innika choo,1166975.75,25.0,146.6125,225.0025,150.98749999999998,78.39
iro,1171479.0,50.0,404.5,404.5,404.5,0.0
isabel marant,1152503.630952381,11.091562189535068,432.8988095238095,674.4404761904761,433.61309523809524,241.54166666666666
isabel marant étoile,1146136.9090909092,9.375,212.45454545454547,329.65909090909093,215.4090909090909,117.20454545454545
iwc schaffhausen,1174330.0,0.0,4700.0,4700.0,4700.0,0.0
j brand,1149974.0,0.0,173.375,243.75,177.125,70.375
jacquemus,1166679.0625,16.748138996909105,364.15718749999996,591.9971875000002,365.40718749999996,227.83999999999995
jade swim,1158571.0,100.0,59.5,85.0,64.5,25.5
james perse,789288.0,0.0,92.5,137.5,97.5,45.0
jason wu,1149230.25,100.0,288.5,440.0,289.75,151.5
jason wu collection,1153980.3333333333,100.0,816.6666666666666,816.6666666666666,816.6666666666666,0.0
jennifer behr,1185284.0,0.0,98.1,169.5,103.1,71.4
jennifer chamandi,1087050.8,80.0,426.6,574.0,426.6,147.4
jessie western,1186406.0,0.0,220.0,220.0,220.0,0.0
jimmy choo,1108638.548076923,20.582726277482568,467.58653846153845,596.0144230769231,467.7307692307692,128.4278846153846
johanna ortiz,1171718.8125,24.300566297096978,815.71875,1025.09375,815.71875,209.375
joseph,1132469.7777777778,32.58258258258258,312.5,455.0,314.72222222222223,142.5
junya watanabe,1180049.0,0.0,932.5,1865.0,932.5,932.5
jw anderson,1163361.2727272727,21.555767464858373,572.8181818181819,865.9090909090909,572.8181818181819,293.09090909090907
kalita,1153115.5,0.0,227.0,417.5,227.0,190.5
kassl editions,1170067.3333333333,66.66666666666667,906.6666666666666,1416.6666666666667,906.6666666666666,510.0
kenzo,1163327.111111111,33.979328165374675,323.0,406.8333333333333,325.22222222222223,83.83333333333333
khaite,1170069.5714285714,17.31147018163402,831.0714285714286,1215.0,831.0714285714286,383.92857142857144
ksubi,1169055.75,25.0,90.125,128.625,95.125,38.5
kwaidan editions,1182187.25,0.0,255.625,646.25,256.875,390.625
l'agence,1170871.6,80.0,349.76,389.36,349.76,39.6
la mer,1118663.0,0.0,190.0,190.0,195.0,0.0
la perla,1172282.0,100.0,394.0,394.0,394.0,0.0
le 17 septembre,1163345.0,0.0,355.0,710.0,355.0,355.0
le monde beryl,1161878.0,0.0,82.5,275.0,87.5,192.5
lee mathews,1174026.4444444445,33.333333333333336,403.6666666666667,534.3333333333334,403.6666666666667,130.66666666666666
